Name of the Municiplaity/corporation,Ward No.,Ward reserved for,Total No. of Voters including service voters in the ward,Total Votes Polled (excluding PBs) in the ward,No. of Postal Ballots Polled in the ward,No. of Tendered Votes Polled in the ward,No. of Valid Votes (including PBs) in the ward,No. of Rejected Votes Polled (including PBs) in the ward,No. of Votes Polled to NOTA (including PBs) in the ward,Sl.No. of the Candidate in the ward,Name of the Contesting Candidate in the ward,No. of Valid Votes Secured (including PBs) by the candidate,Party Affiliation if any,Result
GHMC,Ward 55 - Ramanastpura,BC(G),37948,19189,4,0,18408,735,50,3,MOHD KHADER,15781,AIMIM,Elected
GHMC,Ward 55 - Ramanastpura,BC(G),37948,19189,4,0,18408,735,50,4,MOHAMMED YOUSUF DANISH,429,INC,
GHMC,Ward 55 - Ramanastpura,BC(G),37948,19189,4,0,18408,735,50,5,CHAVAN RAMESH,23,INDEPENDENT,
GHMC,Ward 56 - Kishanbagh,BC(G),43641,21346,6,0,20594,669,89,1,KHAJA MUBASHEERUDDIN,14834,AIMIM,Elected
GHMC,Ward 56 - Kishanbagh,BC(G),43641,21346,6,0,20594,669,89,2,B NAVEEN KUMAR,2136,BJP,
GHMC,Ward 56 - Kishanbagh,BC(G),43641,21346,6,0,20594,669,89,3,MOHAMMED SHAKEEL AHMED,3252,TRS,
GHMC,Ward 56 - Kishanbagh,BC(G),43641,21346,6,0,20594,669,89,4,MOHAMMED HAMED,71,TDP,
GHMC,Ward 56 - Kishanbagh,BC(G),43641,21346,6,0,20594,669,89,5,MUMTAZ SULTANA,301,INC,
GHMC,Ward 57 - Suleman nagar,BC(W),46755,22823,2,0,21701,1080,44,1,ABIDA SULTANA,16723,AIMIM,Elected
GHMC,Ward 57 - Suleman nagar,BC(W),46755,22823,2,0,21701,1080,44,2,RIZWANA BEGUM,558,INC,
GHMC,Ward 57 - Suleman nagar,BC(W),46755,22823,2,0,21701,1080,44,3,V LAXMI,555,BJP,
GHMC,Ward 57 - Suleman nagar,BC(W),46755,22823,2,0,21701,1080,44,4,SHAHANA ANJUM,86,CPI,
GHMC,Ward 57 - Suleman nagar,BC(W),46755,22823,2,0,21701,1080,44,5,SARITHA AIRVA,3751,TRS,
GHMC,Ward 57 - Suleman nagar,BC(W),46755,22823,2,0,21701,1080,44,6,SHIRAZ AMEENA,28,INDEPENDENT,
GHMC,Ward 58 - Shastripuram,BC(G),39229,18698,2,0,18106,563,31,1,JALLA BABU RAO YADAV,578,BJP,
GHMC,Ward 58 - Shastripuram,BC(G),39229,18698,2,0,18106,563,31,2,BANDA RAJESH YADAV,3057,TRS,
GHMC,Ward 58 - Shastripuram,BC(G),39229,18698,2,0,18106,563,31,3,MOHAMMED TAJ UDDIN,312,INC,
GHMC,Ward 58 - Shastripuram,BC(G),39229,18698,2,0,18106,563,31,4,MOHAMMED MUBEEN,13676,AIMIM,Elected
GHMC,Ward 58 - Shastripuram,BC(G),39229,18698,2,0,18106,563,31,5,MOHAMMED FAIYAZ,67,INDEPENDENT,
GHMC,Ward 58 - Shastripuram,BC(G),39229,18698,2,0,18106,563,31,6,MOHAMMED RAHIM KHAN,4,INDEPENDENT,
GHMC,Ward 58 - Shastripuram,BC(G),39229,18698,2,0,18106,563,31,7,SADIQ BIN YOUSUF,412,INDEPENDENT,
GHMC,Ward 59 - Mylardevpally,UR(G),79579,37385,12,0,35815,1451,131,1,THOKALA SRINIVAS REDDY,18076,BJP,Elected
GHMC,Ward 59 - Mylardevpally,UR(G),79579,37385,12,0,35815,1451,131,2,T. PREMDAS GOUD,16128,TRS,
GHMC,Ward 59 - Mylardevpally,UR(G),79579,37385,12,0,35815,1451,131,3,B. RAMULU,60,AIFB,
GHMC,Ward 59 - Mylardevpally,UR(G),79579,37385,12,0,35815,1451,131,4,SANEM SRINIVAS GOUD,1259,INC,
GHMC,Ward 59 - Mylardevpally,UR(G),79579,37385,12,0,35815,1451,131,5,ABDUL MAJID,34,AIMIM INQUILAB,
GHMC,Ward 59 - Mylardevpally,UR(G),79579,37385,12,0,35815,1451,131,6,GIRI BABU YADAV GADHAM,1,BMP,
GHMC,Ward 59 - Mylardevpally,UR(G),79579,37385,12,0,35815,1451,131,7,ANUGANTI RAJU,85,INDEPENDENT,
GHMC,Ward 59 - Mylardevpally,UR(G),79579,37385,12,0,35815,1451,131,8,ASHOK KUMAR MEKALA,104,INDEPENDENT,
GHMC,Ward 59 - Mylardevpally,UR(G),79579,37385,12,0,35815,1451,131,9,KOLUKURI SRINIVAS REDDY,35,INDEPENDENT,
GHMC,Ward 59 - Mylardevpally,UR(G),79579,37385,12,0,35815,1451,131,10,T.Y.J. MAHANAND GANDI GOUD,33,INDEPENDENT,
GHMC,Ward 60 - Rajendra nagar,SC(W),47588,23334,20,0,22514,704,136,1,KORANI SRILATHA,8438,TRS,
GHMC,Ward 60 - Rajendra nagar,SC(W),47588,23334,20,0,22514,704,136,2,NAGULAPALLY ROJA,328,TDP,
GHMC,Ward 60 - Rajendra nagar,SC(W),47588,23334,20,0,22514,704,136,3,PODAVU ARCHANA,10844,BJP,Elected
GHMC,Ward 60 - Rajendra nagar,SC(W),47588,23334,20,0,22514,704,136,4,BATHULA S DIVYA,2857,INC,
GHMC,Ward 60 - Rajendra nagar,SC(W),47588,23334,20,0,22514,704,136,5,GUNDALA SARITHA,18,AIMIM INQUILAB,
GHMC,Ward 60 - Rajendra nagar,SC(W),47588,23334,20,0,22514,704,136,6,ANASUYA KORANI,29,INDEPENDENT,
GHMC,Ward 61 - Attapur,BC(W),56392,27718,18,0,26549,1031,156,1,Cheruku Madhavi,11395,TRS,
GHMC,Ward 61 - Attapur,BC(W),56392,27718,18,0,26549,1031,156,2,A. Madhavi,316,TDP,
GHMC,Ward 61 - Attapur,BC(W),56392,27718,18,0,26549,1031,156,3,M. Vasavi,877,INC,
GHMC,Ward 61 - Attapur,BC(W),56392,27718,18,0,26549,1031,156,4,Sangeeta Mondra,13479,BJP,Elected
GHMC,Ward 61 - Attapur,BC(W),56392,27718,18,0,26549,1031,156,5,Uma Maheswari K,58,INDEPENDENT,
GHMC,Ward 61 - Attapur,BC(W),56392,27718,18,0,26549,1031,156,6,Nusrat Jahan,86,INDEPENDENT,
GHMC,Ward 61 - Attapur,BC(W),56392,27718,18,0,26549,1031,156,7,VV Shanti Kumari,23,INDEPENDENT,
GHMC,Ward 61 - Attapur,BC(W),56392,27718,18,0,26549,1031,156,8,Shilpa Khandare,104,INDEPENDENT,
GHMC,Ward 61 - Attapur,BC(W),56392,27718,18,0,26549,1031,156,9,Sugandh Kour,211,INDEPENDENT,
GHMC,Ward 62 - Ziaguda,SC(G),41610,20874,14,0,20043,753,92,1,ATTAPUR RAJESH KUMAR,53,CPM,
GHMC,Ward 62 - Ziaguda,SC(G),41610,20874,14,0,20043,753,92,2,ABHISHEK CHOWGLE,303,INC,
GHMC,Ward 62 - Ziaguda,SC(G),41610,20874,14,0,20043,753,92,3,DARSHAN BOHINI,12711,BJP,Elected
GHMC,Ward 62 - Ziaguda,SC(G),41610,20874,14,0,20043,753,92,4,KULKESH KUMAR KAWLE,109,TDP,
GHMC,Ward 62 - Ziaguda,SC(G),41610,20874,14,0,20043,753,92,5,A KRISHNA,6820,TRS,
GHMC,Ward 62 - Ziaguda,SC(G),41610,20874,14,0,20043,753,92,6,ADIRALA MUNENDAR,27,INDEPENDENT,
GHMC,Ward 62 - Ziaguda,SC(G),41610,20874,14,0,20043,753,92,7,Y BABU GURU,11,INDEPENDENT,
GHMC,Ward 62 - Ziaguda,SC(G),41610,20874,14,0,20043,753,92,8,HOTKER BALRAJ,9,INDEPENDENT,
GHMC,Ward 63 - Manghalhat,BC(W),47078,24345,10,0,23699,581,75,1,Urmila Devi,86,TDP,
GHMC,Ward 63 - Manghalhat,BC(W),47078,24345,10,0,23699,581,75,2,Jyothi Khilewale,604,INC,
GHMC,Ward 63 - Manghalhat,BC(W),47078,24345,10,0,23699,581,75,3,PARAMESAWARI SINGH,10947,TRS,
GHMC,Ward 63 - Manghalhat,BC(W),47078,24345,10,0,23699,581,75,4,Merampally Shashikala,11756,BJP,Elected
GHMC,Ward 63 - Manghalhat,BC(W),47078,24345,10,0,23699,581,75,5,Shanta Bai,36,TJSP,
GHMC,Ward 63 - Manghalhat,BC(W),47078,24345,10,0,23699,581,75,6,Usha Bai,9,INDEPENDENT,
GHMC,Ward 63 - Manghalhat,BC(W),47078,24345,10,0,23699,581,75,7,Kandada Aruna,10,INDEPENDENT,
GHMC,Ward 63 - Manghalhat,BC(W),47078,24345,10,0,23699,581,75,8,Chanda Bai,8,INDEPENDENT,
GHMC,Ward 63 - Manghalhat,BC(W),47078,24345,10,0,23699,581,75,9,TAKUR VEENA SINGH,20,INDEPENDENT,
GHMC,Ward 63 - Manghalhat,BC(W),47078,24345,10,0,23699,581,75,10,Thota Srilahta,156,INDEPENDENT,
GHMC,Ward 63 - Manghalhat,BC(W),47078,24345,10,0,23699,581,75,11,POONAM BAI,62,INDEPENDENT,
GHMC,Ward 63 - Manghalhat,BC(W),47078,24345,10,0,23699,581,75,12,Posthy Sumithra Bai,5,INDEPENDENT,
GHMC,Ward 64 - Dattathreyanagar,BC(G),30090,16530,1,0,15994,490,47,1,N. Dharmender Singh,1940,BJP,
GHMC,Ward 64 - Dattathreyanagar,BC(G),30090,16530,1,0,15994,490,47,2,A. Narayana,134,INC,
GHMC,Ward 64 - Dattathreyanagar,BC(G),30090,16530,1,0,15994,490,47,3,Mohmmad Saleem,1538,TRS,
GHMC,Ward 64 - Dattathreyanagar,BC(G),30090,16530,1,0,15994,490,47,4,Mohammed Aziz,68,TDP,
GHMC,Ward 64 - Dattathreyanagar,BC(G),30090,16530,1,0,15994,490,47,5,Mohmmad Zaker Baquery,12314,AIMIM,Elected
GHMC,Ward 65 - Karwan,BC(G),50820,25369,13,0,24303,999,80,1,KATLA ASHOK,9427,BJP,
GHMC,Ward 65 - Karwan,BC(G),50820,25369,13,0,24303,999,80,2,MANDAGIRI SWAMY,10546,AIMIM,Elected
GHMC,Ward 65 - Karwan,BC(G),50820,25369,13,0,24303,999,80,3,J RAVINDER,625,INC,
GHMC,Ward 65 - Karwan,BC(G),50820,25369,13,0,24303,999,80,4,THANDRA CHANDRAKANTH,143,TDP,
GHMC,Ward 65 - Karwan,BC(G),50820,25369,13,0,24303,999,80,5,BHASKAR MUTHYALA,3540,TRS,
GHMC,Ward 65 - Karwan,BC(G),50820,25369,13,0,24303,999,80,6,HARISH TUMMA,17,INDEPENDENT,
GHMC,Ward 65 - Karwan,BC(G),50820,25369,13,0,24303,999,80,7,R. PANDARI,5,INDEPENDENT,
GHMC,Ward 66 - Lunger house,UR(W),50650,24262,6,0,23372,815,81,1,AMINA BEGUM,11182,AIMIM,Elected
GHMC,Ward 66 - Lunger house,UR(W),50650,24262,6,0,23372,815,81,2,B.BHAGYALAXMI,4210,TRS,
GHMC,Ward 66 - Lunger house,UR(W),50650,24262,6,0,23372,815,81,3,SHOBHA RANI PANDAY,301,INC,
GHMC,Ward 66 - Lunger house,UR(W),50650,24262,6,0,23372,815,81,4,C.SUGANDHA PUSHPA,7564,BJP,
GHMC,Ward 66 - Lunger house,UR(W),50650,24262,6,0,23372,815,81,5,B.SUDHA RANI,96,TDP,
GHMC,Ward 66 - Lunger house,UR(W),50650,24262,6,0,23372,815,81,6,RENU YADAV,7,INDEPENDENT,
GHMC,Ward 66 - Lunger house,UR(W),50650,24262,6,0,23372,815,81,7,LAVANYA R,12,INDEPENDENT,
GHMC,Ward 67 - Golkonda,BC(W),54716,27251,0,0,26263,893,95,1,ASFIYA KHAN,3569,TRS,
GHMC,Ward 67 - Golkonda,BC(W),54716,27251,0,0,26263,893,95,2,B.SHAKUNTHALA,1641,BJP,
GHMC,Ward 67 - Golkonda,BC(W),54716,27251,0,0,26263,893,95,3,SAMEENA YASMEEN,20819,AIMIM,Elected
GHMC,Ward 67 - Golkonda,BC(W),54716,27251,0,0,26263,893,95,4,FAHMIDA BEGUM,234,INDEPENDENT,
GHMC,Ward 68 - Tolichowki,BC(W),39808,20580,2,0,20053,441,88,1,DR. AYESHA HUMERA,18089,AIMIM,Elected
GHMC,Ward 68 - Tolichowki,BC(W),39808,20580,2,0,20053,441,88,2,ANASUYA,392,BJP,
GHMC,Ward 68 - Tolichowki,BC(W),39808,20580,2,0,20053,441,88,3,NAGA JYOTHI ABBANAPURI,1572,TRS,
GHMC,Ward 69 - Nanalnagar,BC(G),50649,26452,0,0,25865,520,67,1,Mohammed Naseeruddin,21818,AIMIM,Elected
GHMC,Ward 69 - Nanalnagar,BC(G),50649,26452,0,0,25865,520,67,2,Shaik Azhar,2954,TRS,
GHMC,Ward 69 - Nanalnagar,BC(G),50649,26452,0,0,25865,520,67,3,Mohammed Abdul Sarhan,447,INC,
GHMC,Ward 69 - Nanalnagar,BC(G),50649,26452,0,0,25865,520,67,4,K Karan kumar,646,BJP,
GHMC,Ward 70 - Mehdipatnam,BC(G),34275,11883,2,0,11655,186,44,1,M UMA MAHESHWARA RAO,864,INC,
GHMC,Ward 70 - Mehdipatnam,BC(G),34275,11883,2,0,11655,186,44,2,D GOPALA KRISHNA,1936,BJP,
GHMC,Ward 70 - Mehdipatnam,BC(G),34275,11883,2,0,11655,186,44,3,MOHAMMED MAJID HUSSAIN,7420,AIMIM,Elected
GHMC,Ward 70 - Mehdipatnam,BC(G),34275,11883,2,0,11655,186,44,4,P VEERA BABU,159,TDP,
GHMC,Ward 70 - Mehdipatnam,BC(G),34275,11883,2,0,11655,186,44,5,SANTHOSH KUMAR HINGOLEKAR,1249,TRS,
GHMC,Ward 70 - Mehdipatnam,BC(G),34275,11883,2,0,11655,186,44,6,MD NAZEER AHMED ANSARI,8,BMP,
GHMC,Ward 70 - Mehdipatnam,BC(G),34275,11883,2,0,11655,186,44,7,MOHD ABDUL ALEEM,19,INDEPENDENT,
GHMC,Ward 71 - Guddimalkapur,BC(G),51389,23203,17,0,22456,606,158,1,DEVARA KARUNAKAR,12359,BJP,Elected
GHMC,Ward 71 - Guddimalkapur,BC(G),51389,23203,17,0,22456,606,158,2,NAGARAM VENU GOUD,941,INC,
GHMC,Ward 71 - Guddimalkapur,BC(G),51389,23203,17,0,22456,606,158,3,BANGARI PRAKASH,8693,TRS,
GHMC,Ward 71 - Guddimalkapur,BC(G),51389,23203,17,0,22456,606,158,4,A SURENDER SINGH,175,TDP,
GHMC,Ward 71 - Guddimalkapur,BC(G),51389,23203,17,0,22456,606,158,5,M KARTHIK YADAV,28,INDEPENDENT,
GHMC,Ward 71 - Guddimalkapur,BC(G),51389,23203,17,0,22456,606,158,6,GIRI KARUNA,90,INDEPENDENT,
GHMC,Ward 71 - Guddimalkapur,BC(G),51389,23203,17,0,22456,606,158,7,PANDIKONDA SRINIVAS,35,INDEPENDENT,
GHMC,Ward 71 - Guddimalkapur,BC(G),51389,23203,17,0,22456,606,158,8,MADHAV RAO BEKKAM,35,INDEPENDENT,
GHMC,Ward 71 - Guddimalkapur,BC(G),51389,23203,17,0,22456,606,158,9,MOHAMMED ABDUL AZEEM,82,INDEPENDENT,
GHMC,Ward 71 - Guddimalkapur,BC(G),51389,23203,17,0,22456,606,158,10,SATTAR GULAM,18,INDEPENDENT,
GHMC,Ward 72 - Asifnagar,BC(W),51815,22185,6,0,21519,600,72,1,GHOUSIA SULTANA,12309,AIMIM,Elected
GHMC,Ward 72 - Asifnagar,BC(W),51815,22185,6,0,21519,600,72,2,CHENNABATNI LAVANYA,6215,BJP,
GHMC,Ward 72 - Asifnagar,BC(W),51815,22185,6,0,21519,600,72,3,MANISHA,416,INC,
GHMC,Ward 72 - Asifnagar,BC(W),51815,22185,6,0,21519,600,72,4,M SAI SHIRISHA,2368,TRS,
GHMC,Ward 72 - Asifnagar,BC(W),51815,22185,6,0,21519,600,72,5,P JAYASREE,24,INDEPENDENT,
GHMC,Ward 72 - Asifnagar,BC(W),51815,22185,6,0,21519,600,72,6,TASEEN BAGIDI,115,INDEPENDENT,
GHMC,Ward 72 - Asifnagar,BC(W),51815,22185,6,0,21519,600,72,7,DANDUGULA SARITHA,31,INDEPENDENT,
GHMC,Ward 72 - Asifnagar,BC(W),51815,22185,6,0,21519,600,72,8,DR. LUBNA SARWATH,41,INDEPENDENT,
GHMC,Ward 73 - Vijayanagar colony,BC(W),54365,20661,12,0,19978,626,69,1,INAYAH FATIMA,1528,INC,
GHMC,Ward 73 - Vijayanagar colony,BC(W),54365,20661,12,0,19978,626,69,2,DARGA ASHWINI,4964,BJP,
GHMC,Ward 73 - Vijayanagar colony,BC(W),54365,20661,12,0,19978,626,69,3,BATHA JABEEN,11071,AIMIM,Elected
GHMC,Ward 73 - Vijayanagar colony,BC(W),54365,20661,12,0,19978,626,69,4,M SWAROOPA RANI,2370,TRS,
GHMC,Ward 73 - Vijayanagar colony,BC(W),54365,20661,12,0,19978,626,69,5,SADIYA FATHIMA,16,INDEPENDENT,
GHMC,Ward 73 - Vijayanagar colony,BC(W),54365,20661,12,0,19978,626,69,6,SMT SAYYED SHAHINA PARVIN ISMAIL,11,INDEPENDENT,
GHMC,Ward 73 - Vijayanagar colony,BC(W),54365,20661,12,0,19978,626,69,7,K SUMITHRA,18,INDEPENDENT,
GHMC,Ward 74 - Ahmed nagar,BC(W),54041,22512,4,0,21889,552,75,1,MAMATHA S,3164,TRS,
GHMC,Ward 74 - Ahmed nagar,BC(W),54041,22512,4,0,21889,552,75,2,RAFATH SULTANA,14536,AIMIM,Elected
GHMC,Ward 74 - Ahmed nagar,BC(W),54041,22512,4,0,21889,552,75,3,RADHA BAI K N,2964,BJP,
GHMC,Ward 74 - Ahmed nagar,BC(W),54041,22512,4,0,21889,552,75,4,HUMERA AHMEDI,1225,INC,
GHMC,Ward 75 - Red hills,BC(W),45413,20044,5,0,19710,246,93,1,AYESHA FARHEEN,2167,INC,
GHMC,Ward 75 - Red hills,BC(W),45413,20044,5,0,19710,246,93,2,PRIYANKA GOUD CH,3030,TRS,
GHMC,Ward 75 - Red hills,BC(W),45413,20044,5,0,19710,246,93,3,SADDIA MAZHER,10460,AIMIM,Elected
GHMC,Ward 75 - Red hills,BC(W),45413,20044,5,0,19710,246,93,4,SEEMA,3920,BJP,
GHMC,Ward 75 - Red hills,BC(W),45413,20044,5,0,19710,246,93,5,B KRUPA,9,INDEPENDENT,
GHMC,Ward 75 - Red hills,BC(W),45413,20044,5,0,19710,246,93,6,GIRIDHARI LAKSHMI,11,INDEPENDENT,
GHMC,Ward 75 - Red hills,BC(W),45413,20044,5,0,19710,246,93,7,G. PADMA,14,INDEPENDENT,
GHMC,Ward 75 - Red hills,BC(W),45413,20044,5,0,19710,246,93,8,RENUKA BANNELA,43,INDEPENDENT,
GHMC,Ward 75 - Red hills,BC(W),45413,20044,5,0,19710,246,93,9,LAXMI DOODI,33,INDEPENDENT,
GHMC,Ward 75 - Red hills,BC(W),45413,20044,5,0,19710,246,93,10,SHANNAZ FATHIMA,23,INDEPENDENT,
GHMC,Ward 76 - Mallepally,BC(W),57430,25441,8,0,24826,567,56,1,KOLLURU USHASREE,9301,BJP,
GHMC,Ward 76 - Mallepally,BC(W),57430,25441,8,0,24826,567,56,2,ZAKIYA ANJUM,959,INC,
GHMC,Ward 76 - Mallepally,BC(W),57430,25441,8,0,24826,567,56,3,METTU VANI,2114,TRS,
GHMC,Ward 76 - Mallepally,BC(W),57430,25441,8,0,24826,567,56,4,YASMEEN BEGUM,12386,AIMIM,Elected
GHMC,Ward 76 - Mallepally,BC(W),57430,25441,8,0,24826,567,56,5,JUVERIYA SULTANA,51,INDEPENDENT,
GHMC,Ward 76 - Mallepally,BC(W),57430,25441,8,0,24826,567,56,6,PUJARI NAGAMANI,15,INDEPENDENT,
GHMC,Ward 77 - Jambagh,UR(G),47212,24651,2,0,23603,987,63,1,JAGAPATHI MAHESH,100,TDP,
GHMC,Ward 77 - Jambagh,UR(G),47212,24651,2,0,23603,987,63,2,JADALA RAVINDRA,8365,AIMIM,
GHMC,Ward 77 - Jambagh,UR(G),47212,24651,2,0,23603,987,63,3,MUNUKUNTLA ANAND GOUD,5898,TRS,
GHMC,Ward 77 - Jambagh,UR(G),47212,24651,2,0,23603,987,63,4,C.K. MURTHY,381,INC,
GHMC,Ward 77 - Jambagh,UR(G),47212,24651,2,0,23603,987,63,5,RAKESH JAISWAL,8547,BJP,Elected
GHMC,Ward 77 - Jambagh,UR(G),47212,24651,2,0,23603,987,63,6,B . YELLESH MADIGA,12,BMP,
GHMC,Ward 77 - Jambagh,UR(G),47212,24651,2,0,23603,987,63,7,MOHD IFTEKHAR ALI,85,AIMIM INQUILAB,
GHMC,Ward 77 - Jambagh,UR(G),47212,24651,2,0,23603,987,63,8,MOHAMED ZAHOOR UDDIN,15,TJSP,
GHMC,Ward 77 - Jambagh,UR(G),47212,24651,2,0,23603,987,63,9,RAKESH KULKARNI,27,HINDJP,
GHMC,Ward 77 - Jambagh,UR(G),47212,24651,2,0,23603,987,63,10,GODUGU SRINIVAS YADAV,39,INDEPENDENT,
GHMC,Ward 77 - Jambagh,UR(G),47212,24651,2,0,23603,987,63,11,DASARI RAJKUMAR,57,INDEPENDENT,
GHMC,Ward 77 - Jambagh,UR(G),47212,24651,2,0,23603,987,63,12,N . RAJESH,20,INDEPENDENT,
GHMC,Ward 77 - Jambagh,UR(G),47212,24651,2,0,23603,987,63,13,VANAMALA GOPAL,48,INDEPENDENT,
GHMC,Ward 77 - Jambagh,UR(G),47212,24651,2,0,23603,987,63,14,SOMA THRINATH RAO,9,INDEPENDENT,
GHMC,Ward 78 - Gunfoundry,UR(W),47936,23634,2,0,23102,378,156,1,Mamtha Manga,8819,TRS,
GHMC,Ward 78 - Gunfoundry,UR(W),47936,23634,2,0,23102,378,156,2,P. Sangeetha Yadav,652,INC,
GHMC,Ward 78 - Gunfoundry,UR(W),47936,23634,2,0,23102,378,156,3,Dr. B. Surekha,11696,BJP,Elected
GHMC,Ward 78 - Gunfoundry,UR(W),47936,23634,2,0,23102,378,156,4,G SOWNDARYA,365,TDP,
GHMC,Ward 78 - Gunfoundry,UR(W),47936,23634,2,0,23102,378,156,5,Andela Anitha Yadav,1327,INDEPENDENT,
GHMC,Ward 78 - Gunfoundry,UR(W),47936,23634,2,0,23102,378,156,6,GULAB LAXMI,65,INDEPENDENT,
GHMC,Ward 78 - Gunfoundry,UR(W),47936,23634,2,0,23102,378,156,7,Jangam Rajitha Priyadarshini,71,INDEPENDENT,
GHMC,Ward 78 - Gunfoundry,UR(W),47936,23634,2,0,23102,378,156,8,MEGHANA JAIN,48,INDEPENDENT,
GHMC,Ward 78 - Gunfoundry,UR(W),47936,23634,2,0,23102,378,156,9,G. Vani Sree,26,INDEPENDENT,
GHMC,Ward 78 - Gunfoundry,UR(W),47936,23634,2,0,23102,378,156,10,SREELATHA GAJULA,27,INDEPENDENT,
GHMC,Ward 78 - Gunfoundry,UR(W),47936,23634,2,0,23102,378,156,11,Sonal C Doshi,6,INDEPENDENT,
GHMC,Ward 79 - Himayathnagar,UR(W),49643,23417,3,0,22655,568,197,1,Indira Rao Juvvadi,835,INC,
GHMC,Ward 79 - Himayathnagar,UR(W),49643,23417,3,0,22655,568,197,2,B CHAYA DEVI,88,CPI,
GHMC,Ward 79 - Himayathnagar,UR(W),49643,23417,3,0,22655,568,197,3,N.K. Padmaja,373,TDP,
GHMC,Ward 79 - Himayathnagar,UR(W),49643,23417,3,0,22655,568,197,4,MAHALAKSHMI.G.N.V.K,12134,BJP,Elected
GHMC,Ward 79 - Himayathnagar,UR(W),49643,23417,3,0,22655,568,197,5,J. Hemalatha Yadav,9158,TRS,
GHMC,Ward 79 - Himayathnagar,UR(W),49643,23417,3,0,22655,568,197,6,ANITHA KIRAN SALLA,12,INDEPENDENT,
GHMC,Ward 79 - Himayathnagar,UR(W),49643,23417,3,0,22655,568,197,7,Nazima Begum,11,INDEPENDENT,
GHMC,Ward 79 - Himayathnagar,UR(W),49643,23417,3,0,22655,568,197,8,Nabeela Ahmed,31,INDEPENDENT,
GHMC,Ward 79 - Himayathnagar,UR(W),49643,23417,3,0,22655,568,197,9,Sulochana Gaddam,13,INDEPENDENT,
GHMC,Ward 80 - Kachiguda,UR(W),42496,22313,6,0,21338,788,193,1,K UMA RANI,13579,BJP,Elected
GHMC,Ward 80 - Kachiguda,UR(W),42496,22313,6,0,21338,788,193,2,B JAYANTHI YADAV,561,INC,
GHMC,Ward 80 - Kachiguda,UR(W),42496,22313,6,0,21338,788,193,3,G RAMYA KUMARI,215,TDP,
GHMC,Ward 80 - Kachiguda,UR(W),42496,22313,6,0,21338,788,193,4,B SIRISHA,5590,TRS,
GHMC,Ward 80 - Kachiguda,UR(W),42496,22313,6,0,21338,788,193,5,AEKKALA SHIRISHA,1298,INDEPENDENT,
GHMC,Ward 80 - Kachiguda,UR(W),42496,22313,6,0,21338,788,193,6,VORUGANTI RAMA DEVI,3,INDEPENDENT,
GHMC,Ward 80 - Kachiguda,UR(W),42496,22313,6,0,21338,788,193,7,L.DEEPIKA,18,INDEPENDENT,
GHMC,Ward 80 - Kachiguda,UR(W),42496,22313,6,0,21338,788,193,8,K NEELAMMA,10,INDEPENDENT,
GHMC,Ward 80 - Kachiguda,UR(W),42496,22313,6,0,21338,788,193,9,D VIJITHA REDDY,64,INDEPENDENT,
GHMC,Ward 81 - Nallakunta,UR(W),49813,24720,12,0,23489,955,288,1,Abbagonolla Jyothi,752,INC,
GHMC,Ward 81 - Nallakunta,UR(W),49813,24720,12,0,23489,955,288,2,Amrutha Yakara,12779,BJP,Elected
GHMC,Ward 81 - Nallakunta,UR(W),49813,24720,12,0,23489,955,288,3,Gariganti Sridevi,9523,TRS,
GHMC,Ward 81 - Nallakunta,UR(W),49813,24720,12,0,23489,955,288,4,Racharla Kavitha,269,TDP,
GHMC,Ward 81 - Nallakunta,UR(W),49813,24720,12,0,23489,955,288,5,Ameena Samreen,38,INDEPENDENT,
GHMC,Ward 81 - Nallakunta,UR(W),49813,24720,12,0,23489,955,288,6,Akula Manjula,19,INDEPENDENT,
GHMC,Ward 81 - Nallakunta,UR(W),49813,24720,12,0,23489,955,288,7,N Krishnaveni,22,INDEPENDENT,
GHMC,Ward 81 - Nallakunta,UR(W),49813,24720,12,0,23489,955,288,8,Thatta Maheshwari,87,INDEPENDENT,
GHMC,Ward 82 - Golnaka,BC(W),51218,26150,11,0,25056,851,254,1,KATTULA SARITHA,10665,BJP,
GHMC,Ward 82 - Golnaka,BC(W),51218,26150,11,0,25056,851,254,2,POLINENI PADMA,569,INC,
GHMC,Ward 82 - Golnaka,BC(W),51218,26150,11,0,25056,851,254,3,MAMIDALA ARUNA,227,TDP,
GHMC,Ward 82 - Golnaka,BC(W),51218,26150,11,0,25056,851,254,4,LAVANYA DUSARI,13381,TRS,Elected
GHMC,Ward 82 - Golnaka,BC(W),51218,26150,11,0,25056,851,254,5,ANDRAPU RAJESHWARI,21,INDEPENDENT,
GHMC,Ward 82 - Golnaka,BC(W),51218,26150,11,0,25056,851,254,6,GAYATHRI CHINTALA,37,INDEPENDENT,
GHMC,Ward 82 - Golnaka,BC(W),51218,26150,11,0,25056,851,254,7,NIKHAT UNNISA,120,INDEPENDENT,
GHMC,Ward 82 - Golnaka,BC(W),51218,26150,11,0,25056,851,254,8,G. LALITHA,36,INDEPENDENT,
GHMC,Ward 83 - Amberpet,BC(G),56162,28715,42,0,27402,1133,222,1,DEVARUPPALA SHASHIPAL,94,AIFB,
GHMC,Ward 83 - Amberpet,BC(G),56162,28715,42,0,27402,1133,222,2,K PARASURAM,171,TDP,
GHMC,Ward 83 - Amberpet,BC(G),56162,28715,42,0,27402,1133,222,3,PEER MUNEER AHMED JABER,907,INC,
